 U2, 0,  There's no room no space to rent in this town  
 U2, 0,  You're out of luck and the reason that you had to care  
 U2, 0,  The traffic is stuck and you're not moving anywhere  
 U2, 0,  You thought you'd found a friend to take you out of this place  
 U2, 0,  Someone you could lend a hand in return for grace It's a beautiful day the sky falls  
 U2, 0,  And you feel like it's a beautiful day  
 U2, 0,  Don't let it get away You're on the road but you've got no destination  
 U2, 0,  You're in the mud in the maze of her imagination  
 U2, 0,  You love this town even if it doesn't ring true  
 U2, 0,  You've been all over and it's been all over you It's a beautiful day  
 U2, 0,  Don't let it get away  
 U2, 0,  It's a beautiful day Touch me take me to that other place  
 U2, 0,  Teach me I know I'm not a hopeless case See the world in green and blue  
 U2, 0,  See China right in front of you  
 U2, 0,  See the canyons broken by cloud  
 U2, 0,  See the tuna fleets clearing the sea out  
 U2, 0,  See the Bedouin fires at night  
 U2, 0,  See the oil fields at first light  
 U2, 0,  See the bird with a leaf in her mouth  
 U2, 0,  After the flood all the colours came out  
 U2, 0,  It was a beautiful day  
 U2, 0,  Don't let it get away  
 U2, 0,  A beautiful day Touch me take me to that other place  
 U2, 0,  Reach me I know I'm not a hopeless case What you don't have you don't need it now  
 U2, 0,  What you don't know you can feel it somehow  
 U2, 0,  What you don't have you don't need it now  
 U2, 0,  You don't need it now you don't need it now  
 U2, 0,  Beautiful day Every breaking wave on the shore  
 U2, 0,  Tells the next one there'll be one more  
 U2, 0,  And every gambler knows that to lose  
 U2, 0,  Is what you're really there for  
 U2, 0,  Summer I was fearless  
 U2, 0,  Now I speak into an answer phone  
 U2, 0,  Like every falling leaf on the breeze  
 U2, 0,  Winter wouldn't leave it alone  
 U2, 0,  Alone If you go  
 U2, 0,  If you go your way and I go mine  
 U2, 0,  Are we so  
 U2, 0,  Are we so helpless against the tide  
 U2, 0,  Baby every dog on the street  
 U2, 0,  Knows that we're in love with defeat  
 U2, 0,  Are we ready to be swept off our feet  
 U2, 0,  And stop chasing Every breaking wave   
 U2, 0,  Every sailor knows that the sea  
 U2, 0,  Is a friend made enemy  
 U2, 0,  And every shipwrecked soul knows what it is  
 U2, 0,  To live without intimacy  
 U2, 0,   I thought I heard the captain's voice  
 U2, 0,  It's hard to listen while you preach Like every broken wave on the shore  
 U2, 0,   
 U2, 0,  This is as far as I could reach  
 U2, 0,   
 U2, 0,  If you go  
 U2, 0,  If you go your way and I go mine Are we so  
 U2, 0,  Are we so helpless against the tide  
 U2, 0,  Baby every dog on the street Knows that we're in love with defeat  
 U2, 0,  Are we ready to be swept off our feet  
 U2, 0,  And stop chasing Every breaking wave  
 U2, 0,   
 U2, 0,  The sea knows where are the rocks  
 U2, 0,  And drowning is no sin You know where my heart is  
 U2, 0,  The same place that yours has been  
 U2, 0,  We know that we fear to win  
 U2, 0,  And so we end before we begin  
 U2, 0,  Before we begin  
 U2, 0,   
 U2, 0,  If you go  
 U2, 0,  If you go your way and I go mine  
 U2, 0,  Are we so  
 U2, 0,  Are we so helpless against the tide  
 U2, 0,  Baby every dog on the street  
 U2, 0,  Knows that we're in love with defeat  
 U2, 0,  Are we ready to be swept off our feet  
 U2, 0,   
 U2, 0,  And stop chasing  
 U2, 0,  Every breaking wave  
 U2, 0,  I wanna run I want to hide  
 U2, 0,  I want to tear down the walls that hold me inside  
 U2, 0,  I want to reach out and touch the flame  
 U2, 0,  Where the streets have no name I want to feel sunlight on my face  
 U2, 0,  I see the dust-cloud disappear without a trace  
 U2, 0,  I want to take shelter from the poison rain  
 U2, 0,  Where the streets have no name  
 U2, 0,  Where the streets have no name  
 U2, 0,  Where the streets have no name We're still building and burning down love  
 U2, 0,  Burning down love  
 U2, 0,  And when I go there  
 U2, 0,  I go there with you  
 U2, 0,  It's all I can do The city's a flood and our love turns to rust  
 U2, 0,  We're beaten and blown by the wind trampled in dust  
 U2, 0,  I'll show you a place high on a desert plain  
 U2, 0,  Where the streets have no name  
 U2, 0,  Where the streets have no name  
 U2, 0,  Where the streets have no name We're still building and burning down love  
 U2, 0,  Burning down love  
 U2, 0,  And when I go there  
 U2, 0,  I go there with you  
 U2, 0,  It's all I can do Our love turns to rust  
 U2, 0,  We're beaten and blown by the wind  
 U2, 0,  See our love turn to rust  
 U2, 0,  I'll be beaten and blown by the wind And when I go there  
 U2, 0,  I go there with you  
 U2, 0,  It's all I can do One man come in the name of love  
 U2, 0,  One man come and go  
 U2, 0,  One man come he to justify  
 U2, 0,  One man to overthrow In the name of love  
 U2, 0,  What more in the name of love  
 U2, 0,  In the name of love  
 U2, 0,  What more in the name of love One man caught on a barbed wire fence  
 U2, 0,  One man he resist  
 U2, 0,  One man washed on an empty beach  
 U2, 0,  One man betrayed with a kiss In the name of love  
 U2, 0,  What more in the name of love  
 U2, 0,  In the name of love  
 U2, 0,  What more in the name of love Early morning April four  
 U2, 0,  Shot rings out in the Memphis sky  
 U2, 0,  Free at last they took your life  
 U2, 0,  They could not take your pride In the name of love  
 U2, 0,  What more in the name of love  
 U2, 0,  In the name of love  
 U2, 0,  What more in the name of love  
 U2, 0,  In the name of love  
 U2, 0,  What more in the name of love  
 U2, 0,  In the name of love  
 U2, 0,  What more in the name of love You say  
 U2, 0,  you want  
 U2, 0,  Diamonds on a ring of gold  
 U2, 0,  You say  
 U2, 0,  you want  
 U2, 0,  your story to remain untold All the promises we made  
 U2, 0,  From the cradle to the grave When all I want is you You say  
 U2, 0,  you'll give me  
 U2, 0,  a highway with no-one on it Treasure just to look upon it  
 U2, 0,  All the riches in the night You say  
 U2, 0,  you'll give me eyes in the moon of blindness  
 U2, 0,  A river in a time of dryness  
 U2, 0,  A harbour in the tempest  
 U2, 0,  But all the promises we make  
 U2, 0,  from the cradle to the grave  
 U2, 0,  When all I want is you  
 U2, 0,  You say  
 U2, 0,  you want  
 U2, 0,  your love to work out right  
 U2, 0,  To last with me through the night  
 U2, 0,  You say  
 U2, 0,  you want  
 U2, 0,  Diamonds on a ring of gold  
 U2, 0,  Your story to remain untold  
 U2, 0,  Your love not to grow cold  
 U2, 0,  All the promises we break  
 U2, 0,  from the cradle to the grave  
 U2, 0,  When all I want is you  
 U2, 0,  A tuber  
 U2, 0,  when the trees just a best  
 U2, 0,  Of old anywhere  
 U2, 0,  what do when I can tuber  
 U2, 0,  Oh trees just right  
 U2, 0,  And king does for  
 U2, 0,  and to got it old and old Yes I can't believe the news today  
 U2, 0,  Oh I can't close my eyes and make it go away  
 U2, 0,  How long how long must we sing this song  
 U2, 0,  How long How long  
 U2, 0,  Cause tonight we can be as one tonight Broken bottles under children's feet  
 U2, 0,  Bodies strewn across the dead end streets  
 U2, 0,  But I won't heed the battle call  
 U2, 0,  It puts my back up puts my back up against the wall Sunday Bloody Sunday  
 U2, 0,  Sunday Bloody Sunday  
 U2, 0,  Sunday Bloody Sunday And the battle's just begun  
 U2, 0,  There's many lost but tell me who has won  
 U2, 0,  The trench is dug within our hearts  
 U2, 0,  And mothers children brothers sisters torn apart Sunday Bloody Sunday  
 U2, 0,  Sunday Bloody Sunday How long how long must we sing this song  
 U2, 0,  How long How long  
 U2, 0,  Cause tonight we can be as one  
 U2, 0,  Tonight tonight Sunday Bloody Sunday  
 U2, 0,  Sunday Bloody Sunday Wipe the tears from your eyes  
 U2, 0,  Wipe your tears away  
 U2, 0,  Oh wipe your tears away  
 U2, 0,  Oh wipe your tears away  
 U2, 0,  Oh wipe your blood shot eyes  
 U2, 0,  Sunday Bloody Sunday  
 U2, 0,  Sunday Bloody Sunday  
 U2, 0,  And it's true we are immune when fact is fiction and TV reality  
 U2, 0,  And today the millions cry  
 U2, 0,  We eat and drink while tomorrow they die  
 U2, 0,  The real battle just begun to claim the victory Jesus won on  
 U2, 0,  Sunday Bloody Sunday  
 U2, 0,  Sunday Bloody Sunday If you twist and turn away  
 U2, 0,  If you tear yourself in two again  
 U2, 0,  If I could yes I would  
 U2, 0,  If I could I would let it go  
 U2, 0,  Surrender dislocate  If I could throw this lifeless life-line to the wind  
 U2, 0,  Leave this heart of clay see you walk walk away  
 U2, 0,  Into the night and through the rain  
 U2, 0,  Into the half light and through the flame  If I could through myself set your spirit free  
 U2, 0,  I'd lead your heart away see you break break away  
 U2, 0,  Into the light and to the day Ooh ooh ooh ooh ooh ooh  
 U2, 0,  Ooh ooh ooh ooh ooh ooh  
 U2, 0,  To let it go and so to fade away  
 U2, 0,  To let it go and so fade away  
 U2, 0,  I'm wide awake I'm wide awake wide awake  
 U2, 0,  I'm not sleeping oh no no no  
 U2, 0,  If you should ask then maybe they'd tell you what I would say  
 U2, 0,  True colours fly in blue and black  
 U2, 0,  Bruised silken sky and burning flak Colours crash collide in blood-shot eyes  
 U2, 0,  If I could you know I would If I could I would let it go  
 U2, 0,  This desperation dislocation  
 U2, 0,  Separation condemnation  
 U2, 0,  Revelation in temptation  
 U2, 0,  Isolation desolation  
 U2, 0,  Let it go and so to fade away  
 U2, 0,  To let it go and so to fade away  
 U2, 0,  To let it go and so to fade away  
 U2, 0,  I'm wide awake I'm wide awake wide awake  
 U2, 0,  I'm not sleeping  
 U2, 0,  Oh no no no Yeah  
 U2, 0,  All is quiet on New Year's Day  
 U2, 0,  A world in white gets underway  
 U2, 0,  I want to be with you  
 U2, 0,  Be with you night and day  
 U2, 0,  Nothing changes on New Year's Day  
 U2, 0,  On New Year's Day I will be with you again  
 U2, 0,  I will be with you again Under a blood red sky  
 U2, 0,  A crowd has gathered in black and white  
 U2, 0,  Arms entwined the chosen few  
 U2, 0,  The newspapers says says  
 U2, 0,  Say it's true it's true  
 U2, 0,  And we can break through  
 U2, 0,  Though torn in two  
 U2, 0,  We can be one I I will begin again  
 U2, 0,  I I will begin again Oh oh Oh oh  
 U2, 0,  Oh oh  
 U2, 0,  Oh oh Oh oh  
 U2, 0,  Oh oh  
 U2, 0,  Oh oh Ah maybe the time is right  
 U2, 0,  Oh maybe tonight I will be with you again  
 U2, 0,  I will be with you again  
 U2, 0,  And so we're told this is the golden age  
 U2, 0,  And gold is the reason for the wars we wage  
 U2, 0,  Though I want to be with you  
 U2, 0,  Be with you night and day  
 U2, 0,  Nothing changes  
 U2, 0,  On New Year's Day  
 U2, 0,  On New Year's Day  
 U2, 0,  On New Year's Day You've got a face not spoiled by beauty  
 U2, 0,  I have some scars from where I've been  
 U2, 0,  You've got eyes that can see right through me  
 U2, 0,  You're not afraid of anything they've seen I was told that I would feel  
 U2, 0,  Nothing the first time  
 U2, 0,  I don't know how these cuts heal  
 U2, 0,  But in you I found a right If there is a light  
 U2, 0,  You can't always see  
 U2, 0,  And there is a world  
 U2, 0,  We can't always be  
 U2, 0,  If there is a dark  
 U2, 0,  That we shouldn't doubt  
 U2, 0,  And there is a light  
 U2, 0,  Don't let it go out And this is a song  
 U2, 0,  A song for someone  
 U2, 0,  This is a song  
 U2, 0,  A song for someone You let me into a conversation  
 U2, 0,  A conversation only we could make  
 U2, 0,  You're breaking into my imagination  
 U2, 0,  Whatever's in there is yours to take I was told I'd feel  
 U2, 0,  Nothing the first time  
 U2, 0,  You were slow to heal  
 U2, 0,  But this could be the night If there is a light  
 U2, 0,  You can't always see  
 U2, 0,  And there is a world  
 U2, 0,  We can't always be  
 U2, 0,  If there is a dark  
 U2, 0,  Within and without  
 U2, 0,  And there is a light  
 U2, 0,  Don't let it go out And this is a song  
 U2, 0,  A song for someone  
 U2, 0,  This is a song  
 U2, 0,  A song for someone And I'm a long way  
 U2, 0,  From your hill on Calvary  
 U2, 0,  And I'm a long way  
 U2, 0,  From where I was where I need to be If there is a light  
 U2, 0,  You can't always see  
 U2, 0,  And there is a world  
 U2, 0,  We can't always be  
 U2, 0,  I know there are plenty  
 U2, 0,  of reasons to doubt  
 U2, 0,  But if there is a light  
 U2, 0,  don't let it go out Johnny take a walk with your sister the moon  
 U2, 0,  Let her pale light in to fill up your room  
 U2, 0,  You've been living underground eating from a can  
 U2, 0,  You've been running away from what you don't understand  
 U2, 0,  Love She's slippy you're sliding down  
 U2, 0,  She'll be there when you hit the ground It's alright it's alright it's alright  
 U2, 0,  She moves in mysterious ways  
 U2, 0,  It's alright it's alright it's alright  
 U2, 0,  She moves in mysterious ways Johnny take a dive with your sister in the rain  
 U2, 0,  Let her talk about the things you can't explain  
 U2, 0,  To touch is to heal to hurt is to steal  
 U2, 0,  If you want to kiss the sky better learn how to kneel  
 U2, 0,  On your knees boy She's the wave she turns the tide  
 U2, 0,  She sees the man inside the child It's alright it's alright it's alright  
 U2, 0,  She moves in mysterious ways  
 U2, 0,  It's alright it's alright it's alright  
 U2, 0,  She moves in mysterious ways  
 U2, 0,  It's alright it's alright it's alright  
 U2, 0,  Lift my days light up my nights love One day you'll look back and you'll see  
 U2, 0,  Where you were held  
 U2, 0,  How by this love while you could stand there  
 U2, 0,  You could move on this moment  
 U2, 0,  Follow this feeling It's alright it's alright it's alright  
 U2, 0,  She moves in mysterious ways  
 U2, 0,  It's alright it's alright it's alright  
 U2, 0,  She moves in mysterious ways  
 U2, 0,  Love it's alright it's alright it's alright  
 U2, 0,  We move through miracle days  
 U2, 0,  Move you spirit move making love  
 U2, 0,  It's alright it's alright it's alright  
 U2, 0,  Yeah move yeah move make love  
 U2, 0,  Spirit moves in mysterious ways  
 U2, 0,  You move with it she moves with it  
 U2, 0,  It's alright it's alright alright  
 U2, 0,  Lift my days light up my nights love The sea wants to kiss the golden shore  
 U2, 0,  The sunlight warms your skin  
 U2, 0,  All the beauty that's been lost before  
 U2, 0,  Wants to find us again I can't fight you anymore  
 U2, 0,  It's you I'm fighting for  
 U2, 0,  The sea throws rock together  
 U2, 0,  But time leaves us polished stones We can't fall any further  
 U2, 0,  If we can't feel ordinary love  
 U2, 0,  We cannot reach any higher  
 U2, 0,  If we can't deal with ordinary love Birds fly high in the summer sky  
 U2, 0,  And rest on the breeze  
 U2, 0,  The same wind will take care of you and  
 U2, 0,  I will build our house in the trees Your heart is on my sleeve  
 U2, 0,  Did you put there with a magic marker  
 U2, 0,  For years I would believe  
 U2, 0,  That the world couldn't wash it away Cause we can't fall any further  
 U2, 0,  If we can't feel ordinary love  
 U2, 0,  We cannot reach any higher  
 U2, 0,  If we can't deal with ordinary love Are we tough enough  
 U2, 0,  For ordinary love We can't fall any further  
 U2, 0,  If we can't feel ordinary love  
 U2, 0,  We cannot reach any higher  
 U2, 0,  If we can't deal with ordinary love We can't fall any further  
 U2, 0,  If we can't feel ordinary love  
 U2, 0,  We cannot reach any higher  
 U2, 0,  If we can't deal with ordinary love One man come in the name of love  
 U2, 0,  One man come and go  
 U2, 0,  One man come he to justify  
 U2, 0,  One man to overthrow In the name of love  
 U2, 0,  What more in the name of love  
 U2, 0,  In the name of love  
 U2, 0,  What more in the name of love One man caught on a barbed wire fence  
 U2, 0,  One man he resist  
 U2, 0,  One man washed on an empty beach  
 U2, 0,  One man betrayed with a kiss In the name of love  
 U2, 0,  What more in the name of love  
 U2, 0,  In the name of love  
 U2, 0,  What more in the name of love Early morning April four  
 U2, 0,  Shot rings out in the Memphis sky  
 U2, 0,  Free at last they took your life  
 U2, 0,  They could not take your pride In the name of love  
 U2, 0,  What more in the name of love  
 U2, 0,  In the name of love  
 U2, 0,  What more in the name of love In the name of love  
 U2, 0,  What more in the name of love  
 U2, 0,  In the name of love  
 U2, 0,  What more in the name of love Magnificent  
 U2, 0,  Oh oh magnificent I was born I was born to be with you  
 U2, 0,  In this space and time  
 U2, 0,  After that and ever after  
 U2, 0,  I haven't had a clue  
 U2, 0,  Only to break rhyme  
 U2, 0,  This foolishness can leave a heart black and blue oh oh Only love only love can leave such a mark  
 U2, 0,  But only love only love can heal such a scar I was born I was born to sing for you  
 U2, 0,  I didn't have a choice but to lift you up  
 U2, 0,  And sing whatever song you wanted me to  
 U2, 0,  I give you back my voice from the womb  
 U2, 0,  My first cry it was a joyful noise oh oh Only love only love can leave such a mark  
 U2, 0,  But only love only love can heal such a scar Justified till we die you and I will magnify oh oh  
 U2, 0,  Magnificent magnificent oh  
 U2, 0,  Only love only love can leave such a mark  
 U2, 0,  But only love only love unites our hearts  
 U2, 0,  Justified till we die you and I will magnify oh oh  
 U2, 0,  Magnificent magnificent magnificent   
 U2, 0,  With you with you  
 U2, 0,  I wish we had another time  
 U2, 0,  I wish we had another place  Now Romeo and Juliet  
 U2, 0,  Bet they never felt the way we felt  
 U2, 0,  Bonnie and Clyde  
 U2, 0,  Never had to hide like we do we do  You and I both know it can't work  
 U2, 0,  It's all fun and games  
 U2, 0,  Til someone gets hurt  
 U2, 0,  And I don't I won't let that be you  
 U2, 0,  Now you don't wanna let go And I don't wanna let you know  
 U2, 0,  That there might be something real between us two who knew  
 U2, 0,  Now we don't wanna fall but We're tripping in our hearts and  
 U2, 0,  It's reckless and clumsy  
 U2, 0,  Cause I know you can't love me hey I wish we had another time  
 U2, 0,  I wish we had another place  
 U2, 0,  But everything we have is stuck in the moment  
 U2, 0,  And there's nothing my heart can do To fight with time and space  
 U2, 0,  Cause I'm still stuck in the moment with you  
 U2, 0,  See like Adam and Eve  
 U2, 0,  Tragedy was our destiny Like Sonny and Cher  
 U2, 0,  I don't care I've got you baby  
 U2, 0,  See we both fighting every inch of our fiber  
 U2, 0,  Cause ain't no way it's gonna end right but  
 U2, 0,  We are both too foolish to stop  
 U2, 0,  Now you don't wanna let go And I don't wanna let you know  
 U2, 0,  That there might be something real between us two who knew  
 U2, 0,  Now we don't wanna fall but We're tripping in our hearts and  
 U2, 0,  It's reckless and clumsy  
 U2, 0,  And I know you can't love me hey I wish we had another time  
 U2, 0,  I wish we had another place  But everything we have is stuck in the moment  
 U2, 0,  And there's nothing my heart can do To fight with time and space  
 U2, 0,  Cause I'm still stuck in the moment with you  
 U2, 0,  See like just because this cold cruel world Saying we can't be  
 U2, 0,  Baby we both have the right to disagree  
 U2, 0,  And I ain't with it And I don't wanna be so old and gray  
 U2, 0,  Reminiscing about these better days  
 U2, 0,  But convention's telling us to let go  
 U2, 0,  So we'll never know  
 U2, 0,  I wish we had another time  
 U2, 0,  I wish we had another place  
 U2, 0,  Cause everything we did  
 U2, 0,  And everything we have is stuck in the moment  
 U2, 0,  Yeah oh no no no  
 U2, 0,  I wish we had another time  
 U2, 0,  I wish we had another place  
 U2, 0,  But everything we have is stuck in the moment  
 U2, 0,  And there's nothing my heart can do nothing my heart can do  
 U2, 0,  To fight with time and space and space  
 U2, 0,  I'm still stuck in the moment with you From father to son  
 U2, 0,  The blood runs thin  
 U2, 0,  Ooh see the faces frozen still  
 U2, 0,  Against the wind  
 U2, 0,  The seam is split  
 U2, 0,  The coal-face cracked  
 U2, 0,  The lines are long  
 U2, 0,  There's no going back  
 U2, 0,  Through hands of steel  
 U2, 0,  And heart of stone  
 U2, 0,  Our labour day  
 U2, 0,  Has come and gone  
 U2, 0,  They leave me holdin on  
 U2, 0,  In Red Hill Town  
 U2, 0,  See the lights go down on  
 U2, 0,  Hangin on  
 U2, 0,  You're all that's left to hold on to  
 U2, 0,  I'm still waiting  
 U2, 0,  I'm hangin on  
 U2, 0,  You're all that's left to hold on to  
 U2, 0,  The glass is cut  
 U2, 0,  The bottle run dry  
 U2, 0,  Our love runs cold  
 U2, 0,  In the caverns of the night  
 U2, 0,  We're wounded by fear  
 U2, 0,  Injured in doubt  
 U2, 0,  I can lose myself  
 U2, 0,  You I can't live without  
 U2, 0,  Yeah you keep me holdin on  
 U2, 0,  In Red Hill Town  
 U2, 0,  See the lights go down on  
 U2, 0,  Hangin on  
 U2, 0,  You're all that's left to hold on to  
 U2, 0,  I'm still waiting  
 U2, 0,  I'm hangin on  
 U2, 0,  You're all that's left to hold on to  
 U2, 0,  On to  
 U2, 0,  We scorch the earth  
 U2, 0,  Set fire to the sky  
 U2, 0,  And we stooped so low  
 U2, 0,  To reach so high  
 U2, 0,  A link is lost  
 U2, 0,  The chain undone  
 U2, 0,  We wait all day  
 U2, 0,  For night to come  
 U2, 0,  And it comes like a hunter child  
 U2, 0,  I'm hangin on  
 U2, 0,  You're all that's left to hold on to  
 U2, 0,  I'm still waiting  
 U2, 0,  I'm hangin on  
 U2, 0,  You're all that's left to hold on to  
 U2, 0,  We see love slowly stripped away  
 U2, 0,  Our love has seen its better day  
 U2, 0,  Hangin on  
 U2, 0,  Lights go down on Red Hill  
 U2, 0,  The lights go down on Red Hill  
 U2, 0,  The lights go down on Red Hill  
 U2, 0,  The lights go down on Red Hill Town Uno dos tres catorce  
 U2, 0,  Turn it up loud captain Lights go down it's dark  
 U2, 0,  The jungle is your head can't rule your heart  
 U2, 0,  A feeling's so much stronger than a thought  
 U2, 0,  Your eyes are wide and though your soul it can't be bought  
 U2, 0,  Your mind can wander Hello hello hola  
 U2, 0,  I'm at a place called Vertigo d nde est  
 U2, 0,  It's everything I wish I didn't know  
 U2, 0,  Except you give me something  
 U2, 0,  I can feel feel The night is full of holes  
 U2, 0,  Cause bullets rip the sky of ink with gold  
 U2, 0,  They twinkle as the boys play rock and roll  
 U2, 0,  They know that they can't dance at least they know  
 U2, 0,  I can't stand the beat I'm asking for the check  
 U2, 0,  Girl with crimson nails has Jesus around her neck  
 U2, 0,  Swinging to the music swinging to the music whoa whoa  
 U2, 0,  Whoa whoa whoa Hello hello hola  
 U2, 0,  I'm at a place called Vertigo d nde est  
 U2, 0,  It's everything I wish I didn't know  
 U2, 0,  But you give me something  
 U2, 0,  I can feel feel All of this all of this can be yours  
 U2, 0,  All of this all of this can be yours  
 U2, 0,  All of this all of this can be yours  
 U2, 0,  Just give me what I want and no one gets hurt Hello hello hola  
 U2, 0,  We're at a place called Vertigo d nde est  
 U2, 0,  Lights go down and all I know  
 U2, 0,  Is that you give me something  
 U2, 0,  I can feel your love teaching me how  
 U2, 0,  Your love is teaching me how  
 U2, 0,  How to kneel  
 U2, 0,  Kneel  
 U2, 0,  Yeah yeah yeah yeah yeah yeah yeah yeah  
 U2, 0,  Yeah yeah yeah yeah yeah yeah yeah yeah And so she woke up  
 U2, 0,  Woke up from where she was lyin still  
 U2, 0,  Said I gotta do something  
 U2, 0,  About where we're goin Step on a steam train  
 U2, 0,  Step out of the driving rain maybe  
 U2, 0,  Run from the darkness in the night  
 U2, 0,  Singing ah ah la la la de day  
 U2, 0,  Ah la la la de day  Sweet the sin bitter the taste in my mouth  
 U2, 0,  I see seven towers but I only see one way out  
 U2, 0,  You gotta cry without weeping talk without speaking  
 U2, 0,  Scream without raising your voice  
 U2, 0,  You know I took the poison from the poison stream  
 U2, 0,  Then I floated out of here singing  
 U2, 0,  Ah la la la de day  
 U2, 0,  Ah la la la de day  She walks through the streets  
 U2, 0,  With her eyes painted red  
 U2, 0,  Under black belly of cloud in the rain  
 U2, 0,  In through a doorway  
 U2, 0,  She brings me white golden pearls  
 U2, 0,  Stolen from the sea  She is ragin  
 U2, 0,  She is ragin  
 U2, 0,  And the storm blows up in her eyes  
 U2, 0,  She will suffer the needle chill  
 U2, 0,  She's running to stand still One man come in the name of love  
 U2, 0,  One man come and go  
 U2, 0,  One man come he to justify  
 U2, 0,  One man to overthrow In the name of love  
 U2, 0,  What more in the name of love  
 U2, 0,  In the name of love  
 U2, 0,  What more in the name of love  One man caught on a barbed wire fence  
 U2, 0,  One man he resists  
 U2, 0,  One man washed on an empty beach  
 U2, 0,  One man betrayed with a kiss In the name of love  
 U2, 0,  What more in the name of love  
 U2, 0,  In the name of love  
 U2, 0,  What more in the name of love  Early morning April 4th  
 U2, 0,  Shot rings out in the Memphis sky  
 U2, 0,  Free at last they took your life  
 U2, 0,  They could not take your pride In the name of love  
 U2, 0,  What more in the name of love  
 U2, 0,  In the name of love  
 U2, 0,  What more in the name of love  In the name of love  
 U2, 0,  What more in the name of love  
 U2, 0,  In the name of love  
 U2, 0,  What more in the name of love  And love is not the easy thing  
 U2, 0,  The only baggage that you can bring  
 U2, 0,  Love is not the easy thing  
 U2, 0,  The only baggage you can bring  
 U2, 0,  Is all that you can't leave behind And if the darkness is to keep us apart  
 U2, 0,  And if the daylight feels like it's a long way off  
 U2, 0,  And if your glass heart should crack  
 U2, 0,  And for a second you turn back  
 U2, 0,  Oh no be strong Oh oh  
 U2, 0,  Walk on walk on  
 U2, 0,  What you got they can't steal it  
 U2, 0,  No they can't even feel it  
 U2, 0,  Walk on walk on  
 U2, 0,  Stay safe tonight You're packing a suitcase for a place none of us has been  
